New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
17 r - 17 r,168,,1374-12-19,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
17 r - 17 r,169,,[0000-00-00],,,,,Document date,,,,Vacated entry, incomplete,,,,,,,,,,,,
17 r - 17 r,170,,1374-12-20,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 r - 17 r,171,,1374-12-23,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 r - 17 r,172,,1374-12-23,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 r - 17 r,173,,1374-12-31,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 r - 17 r,174,,1374-11-14,,,,,Document date,Donc',,,,,,,,,,,,,,,,
17 v - 17 v,175,,1341-00-00,,,,,Document date,,,,Year only given,,,,,,,,,,,,,
17 v - 17 v,176,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in late 1374 and early 1375",,,,,,,,,,,,,
17 v - 17 v,177,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in late 1374 and early 1375",,,,,,,,,,,,,
17 v - 17 v,178,,1374-12-24,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 v - 17 v,179,,1374-12-24,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
17 v - 17 v,180,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in late 1374 and early 1375",,,,,,,,,,,,,
17 v - 17 v,181,,1375-01-01,,,,,Document date,Thorp,manor,,,,,,,,,,,,,,,
17 v - 17 v,182,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in early 1375",,,,,,,,,,,,,
