Image,Folio,Recto/Verso,Notes,UV
Abp_Reg_31_0001,,,Outside of front board,
Abp_Reg_31_0002,,,Pastedown on inside of front board and pocket attached to inside of front board holding indices; Paper,
Abp_Reg_31_0003,i,r,"Index, Paper",
Abp_Reg_31_0004,i,v,"Index, Paper",
Abp_Reg_31_0005,ii,r,"Index, Paper",
Abp_Reg_31_0006,ii,v,"Index, Paper",
Abp_Reg_31_0007,iii,r,"Index, Paper",
Abp_Reg_31_0008,iii,v,"Index, Paper",
Abp_Reg_31_0009,iv,r,"Index, Paper",
Abp_Reg_31_0010,iv,v,"Index, Paper",
Abp_Reg_31_0011,,,Front flyleaf 1 (recto); Paper,
Abp_Reg_31_0012,,,Front flyleaf 1 (verso); Paper,
Abp_Reg_31_0013,,,Front flyleaf 2 (recto); Paper,
Abp_Reg_31_0014,,,Front flyleaf 2 (verso); Paper,
Abp_Reg_31_0015,,,Contemporary front flyleaf 1 (recto),
Abp_Reg_31_0016,,,Contemporary front flyleaf 1 (verso),
Abp_Reg_31_0017,,,Contemporary front flyleaf 2 (recto),
Abp_Reg_31_0018,,,Contemporary front flyleaf 2 (recto),UV
Abp_Reg_31_0019,,,Contemporary front flyleaf 2 (verso),
Abp_Reg_31_0020,,,Contemporary front flyleaf 3 (recto),
Abp_Reg_31_0021,,,Contemporary front flyleaf 3 (verso),
Abp_Reg_31_0022,,,Contemporary front flyleaf 4 (recto),
Abp_Reg_31_0023,,,Contemporary front flyleaf 4 (verso),
Abp_Reg_31_0510,242,v,,
Abp_Reg_31_0511,243,r,,
Abp_Reg_31_0512,243,v,,
Abp_Reg_31_0513,244,r,,
Abp_Reg_31_0514,244,v,,
Abp_Reg_31_0515,245,r,,
Abp_Reg_31_0516,245,v,,
Abp_Reg_31_0517,246,r,,
Abp_Reg_31_0518,246,v,,
Abp_Reg_31_0519,247,r,,
Abp_Reg_31_0520,247,v,,
Abp_Reg_31_0521,248,r,,
Abp_Reg_31_0522,248,v,,
Abp_Reg_31_0523,249,r,,
Abp_Reg_31_0524,249,v,,
Abp_Reg_31_0525,250,r,,
Abp_Reg_31_0526,250,v,,
Abp_Reg_31_0527,251,r,,
Abp_Reg_31_0528,251,v,,
Abp_Reg_31_0529,252,r,,
Abp_Reg_31_0530,252,v,,
Abp_Reg_31_0531,253,r,,
Abp_Reg_31_0532,253,v,,
Abp_Reg_31_0533,254,r,,
Abp_Reg_31_0534,254,v,,
Abp_Reg_31_0535,254,v,,UV
Abp_Reg_31_0536,255,r,,
Abp_Reg_31_0537,255,v,,
Abp_Reg_31_0538,256,r,,
Abp_Reg_31_0539,256,v,,
Abp_Reg_31_0540,257,r,,
Abp_Reg_31_0541,257,v,,
Abp_Reg_31_0542,258,r,,
Abp_Reg_31_0543,258,v,,
Abp_Reg_31_0544,259,r,,
Abp_Reg_31_0545,259,v,,
Abp_Reg_31_0546,260,r,,
Abp_Reg_31_0547,260,r,,UV
Abp_Reg_31_0548,260,v,,
Abp_Reg_31_0549,261,r,,
Abp_Reg_31_0550,261,v,,
Abp_Reg_31_0551,262,r,,
Abp_Reg_31_0552,262,v,,
Abp_Reg_31_0553,263,r,,
Abp_Reg_31_0554,263,v,,
Abp_Reg_31_0555,264,r,,
Abp_Reg_31_0556,264,v,,
Abp_Reg_31_0557,265,r,,
Abp_Reg_31_0558,265,v,,
Abp_Reg_31_0559,266,r,,
Abp_Reg_31_0560,266,v,,
Abp_Reg_31_0561,267,r,,
