Image,folio,recto/verso,Description,Notes,PID
Abp_Reg_27_0397,191,r,,,york:903730
Abp_Reg_27_0398,191,v,,,york:903731
Abp_Reg_27_0399,192,r,,,york:903732
Abp_Reg_27_0400,192,v,,,york:903733
Abp_Reg_27_0401,193,r,,,york:903734
Abp_Reg_27_0402,193,v,,,york:903735
Abp_Reg_27_0403,194,r,,,york:903736
Abp_Reg_27_0404,194,v,,,york:903737
Abp_Reg_27_0405,195,r,,,york:903738
Abp_Reg_27_0406,195,v,,,york:903739
Abp_Reg_27_0407,196,r,,,york:903740
Abp_Reg_27_0408,196,v,,,york:903741
Abp_Reg_27_0409,197,r,,,york:903742
Abp_Reg_27_0410,197,v,,,york:903743
Abp_Reg_27_0411,198,r,,,york:903744
Abp_Reg_27_0412,198,v,,,york:903745
Abp_Reg_27_0413,199,r,,,york:903746
Abp_Reg_27_0414,199,v,,,york:903747
Abp_Reg_27_0415,200,r,,,york:903748
Abp_Reg_27_0416,200,v,,,york:903749
Abp_Reg_27_0417,201,r,,,york:903750
Abp_Reg_27_0418,201,v,,,york:903751
Abp_Reg_27_0419,202,r,,,york:903752
Abp_Reg_27_0420,202,v,,,york:903753
Abp_Reg_27_0421,203,r,,,york:903754
Abp_Reg_27_0422,203,v,,,york:903755
Abp_Reg_27_0423,204,r,,,york:903756
Abp_Reg_27_0424,204,v,,,york:903757
Abp_Reg_27_0425,205,r,,,york:903758
Abp_Reg_27_0426,205,v,,,york:903759
Abp_Reg_27_0427,206,r,,,york:903760
Abp_Reg_27_0428,206,v,,,york:903761
Abp_Reg_27_0429,207,r,,,york:903762
Abp_Reg_27_0430,207,v,,,york:903763
Abp_Reg_27_0431,208,r,,,york:903764
Abp_Reg_27_0432,208,v,,,york:903765
Abp_Reg_27_0433,209,r,,,york:903766
Abp_Reg_27_0434,209,v,,,york:903767
Abp_Reg_27_0435,210,r,,,york:903768
Abp_Reg_27_0436,210,v,,,york:903769
Abp_Reg_27_0437,211,r,,,york:903770
Abp_Reg_27_0438,211,v,,,york:903771
Abp_Reg_27_0439,212,r,,,york:903772
Abp_Reg_27_0440,212,v,,,york:903773
Abp_Reg_27_0441,213,r,,,york:903774
Abp_Reg_27_0442,213,v,,,york:903775
Abp_Reg_27_0443,214,r,,,york:903776
Abp_Reg_27_0444,214,v,,,york:903777
Abp_Reg_27_0445,215,r,,,york:903778
Abp_Reg_27_0446,215,v,,,york:903779
Abp_Reg_27_0447,216,r,,,york:903780
Abp_Reg_27_0448,216,v,,,york:903781
Abp_Reg_27_0449,,,Back flyleaf 2 (recto); Paper,,york:903782
Abp_Reg_27_0450,,,Back flyleaf 2 (verso); Paper,,york:903783
Abp_Reg_27_0451,,,Back flyleaf 1 (recto); Paper,,york:903784
Abp_Reg_27_0452,,,Back flyleaf 1 (verso); Paper,,york:903785
Abp_Reg_27_0453,,,Pastedown on inside of back board; Paper,,york:903786
Abp_Reg_27_0454,,,Outside of back board,,york:903787
Abp_Reg_27_2000,,,Colour reference image,,york:903788
