Image,folio,recto/verso,Notes,PID
Abp_Reg_08_0449,223,r,,york:894741
Abp_Reg_08_0450,223,v,,york:894742
Abp_Reg_08_0451,224,r,,york:894743
Abp_Reg_08_0452,224,v,,york:894744
Abp_Reg_08_0453,225,r,,york:894745
Abp_Reg_08_0454,225,v,,york:894746
Abp_Reg_08_0455,226,r,,york:894747
Abp_Reg_08_0456,226,v,,york:894748
Abp_Reg_08_0457,227,r,,york:894749
Abp_Reg_08_0458,227,v,,york:894750
Abp_Reg_08_0459,228,r,,york:894751
Abp_Reg_08_0460,228,v,,york:894752
Abp_Reg_08_0461,229,r,,york:894753
Abp_Reg_08_0462,229,v,,york:894754
Abp_Reg_08_0463,230,r,,york:894755
Abp_Reg_08_0464,230,v,,york:894756
Abp_Reg_08_0465,231,r,,york:894757
Abp_Reg_08_0466,231,v,,york:894758
Abp_Reg_08_0467,232,r,,york:894759
Abp_Reg_08_0468,232,v,,york:894760
Abp_Reg_08_0469,233,r,,york:894761
Abp_Reg_08_0470,233,v,,york:894762
Abp_Reg_08_0471,234,r,,york:894763
Abp_Reg_08_0472,234,v,,york:894764
Abp_Reg_08_0473,235,r,,york:894765
Abp_Reg_08_0474,235,v,,york:894766
Abp_Reg_08_0475,236,r,,york:894767
Abp_Reg_08_0476,236,v,,york:894768
Abp_Reg_08_0477,237,r,,york:894769
Abp_Reg_08_0478,237,v,,york:894770
Abp_Reg_08_0479,238,r,,york:894771
Abp_Reg_08_0480,238,v,,york:894772
Abp_Reg_08_0481,239,r,,york:894773
Abp_Reg_08_0482,239,v,,york:894774
Abp_Reg_08_0483,240,r,,york:894775
Abp_Reg_08_0484,240,v,,york:894776
Abp_Reg_08_0485,241,r,,york:894777
Abp_Reg_08_0486,241,v,,york:894778
Abp_Reg_08_0487,242,r,,york:894779
Abp_Reg_08_0488,242,v,,york:894780
Abp_Reg_08_0489,243,r,,york:894781
Abp_Reg_08_0490,243,v,,york:894782
Abp_Reg_08_0491,244,r,,york:894783
Abp_Reg_08_0492,244,v,,york:894784
Abp_Reg_08_0493,245,r,,york:894785
Abp_Reg_08_0494,245,v,,york:894786
Abp_Reg_08_0495,246,r,,york:894787
Abp_Reg_08_0496,246,v,,york:894788
Abp_Reg_08_0497,247,r,,york:894789
Abp_Reg_08_0498,247,v,,york:894790
Abp_Reg_08_0499,248,r,,york:894791
Abp_Reg_08_0500,248,v,,york:894792
Abp_Reg_08_0501,249,r,,york:894793
Abp_Reg_08_0502,249,v,,york:894794
Abp_Reg_08_0503,250,r,,york:894795
Abp_Reg_08_0504,250,v,,york:894796
Abp_Reg_08_0505,251,r,,york:894797
Abp_Reg_08_0506,251,v,,york:894798
Abp_Reg_08_0507,252,r,,york:894799
Abp_Reg_08_0508,252,v,,york:894800
Abp_Reg_08_0509,253,r,,york:894801
Abp_Reg_08_0510,253,v,,york:894802
Abp_Reg_08_0511,254,r,,york:894803
Abp_Reg_08_0512,254,v,,york:894804
Abp_Reg_08_0513,255,r,,york:894805
Abp_Reg_08_0514,255,v,,york:894806
Abp_Reg_08_0515,256,r,,york:894807
Abp_Reg_08_0516,256,v,,york:894808
Abp_Reg_08_0517,257,r,,york:894809
Abp_Reg_08_0518,257,v,,york:894810
Abp_Reg_08_0519,258,r,,york:894811
Abp_Reg_08_0520,258,v,,york:894812
Abp_Reg_08_0521,259,r,,york:894813
Abp_Reg_08_0522,259,v,,york:894814
Abp_Reg_08_0523,260,r,,york:894815
Abp_Reg_08_0524,260,v,,york:894816
Abp_Reg_08_0525,261,r,,york:894817
Abp_Reg_08_0526,261,v,,york:894818
Abp_Reg_08_0527,262,r,,york:894819
Abp_Reg_08_0528,262,v,,york:894820
Abp_Reg_08_0529,263,r,,york:894821
Abp_Reg_08_0530,263,v,,york:894822
Abp_Reg_08_0531,264,r,,york:894823
Abp_Reg_08_0532,264,v,,york:894824
Abp_Reg_08_0533,265,r,,york:894825
Abp_Reg_08_0534,265,v,,york:894826
Abp_Reg_08_0535,266,r,,york:894827
Abp_Reg_08_0536,266,v,,york:894828
Abp_Reg_08_0537,267,r,,york:894829
Abp_Reg_08_0538,267,v,,york:894830
Abp_Reg_08_0539,268,r,,york:894831
Abp_Reg_08_0540,268,v,,york:894832
Abp_Reg_08_0541,269,r,,york:894833
Abp_Reg_08_0542,269,v,,york:894834
Abp_Reg_08_0543,270,r,,york:894835
Abp_Reg_08_0544,270,v,,york:894836
Abp_Reg_08_0545,271,r,,york:894837
Abp_Reg_08_0546,271,v,,york:894838
Abp_Reg_08_0547,272,r,,york:894839
Abp_Reg_08_0548,272,v,,york:894840
Abp_Reg_08_0549,273,r,,york:894841
Abp_Reg_08_0550,273,v,,york:894842
Abp_Reg_08_0551,274,r,,york:894843
Abp_Reg_08_0552,274,v,,york:894844
Abp_Reg_08_0553,275,r,,york:894845
Abp_Reg_08_0554,275,v,,york:894846
Abp_Reg_08_0555,276,r,,york:894847
Abp_Reg_08_0556,276,v,,york:894848
Abp_Reg_08_0557,277,r,,york:894849
Abp_Reg_08_0558,277,v,,york:894850
Abp_Reg_08_0559,278,r,,york:894851
Abp_Reg_08_0560,278,v,,york:894852
Abp_Reg_08_0561,279,r,,york:894853
Abp_Reg_08_0562,279,v,,york:894854
Abp_Reg_08_0563,280,r,,york:894855
Abp_Reg_08_0564,280,v,,york:894856
Abp_Reg_08_0565,281,r,,york:894857
Abp_Reg_08_0566,281,v,,york:894858
Abp_Reg_08_0567,282,r,,york:894859
Abp_Reg_08_0568,282,v,,york:894860
Abp_Reg_08_0569,283,r,,york:894861
Abp_Reg_08_0570,283,v,,york:894862
Abp_Reg_08_0571,284,r,,york:894863
Abp_Reg_08_0572,284,v,,york:894864
Abp_Reg_08_0573,285,r,,york:894865
Abp_Reg_08_0574,285,v,,york:894866
Abp_Reg_08_0575,286,r,,york:894867
Abp_Reg_08_0576,286,v,,york:894868
Abp_Reg_08_0577,287,r,,york:894869
Abp_Reg_08_0578,287,v,,york:894870
Abp_Reg_08_0579,288,r,,york:894871
Abp_Reg_08_0580,288,v,,york:894872
Abp_Reg_08_0581,289,r,,york:894873
Abp_Reg_08_0582,289,v,,york:894874
Abp_Reg_08_0583,290,r,,york:894875
Abp_Reg_08_0584,290,v,,york:894876
Abp_Reg_08_0585,291,r,,york:894877
Abp_Reg_08_0586,291,v,,york:894878
Abp_Reg_08_0587,292,r,,york:894879
Abp_Reg_08_0588,292,v,,york:894880
Abp_Reg_08_0589,293,r,,york:894881
Abp_Reg_08_0590,293,v,,york:894882
Abp_Reg_08_0591,294,r,,york:894883
Abp_Reg_08_0592,294,v,,york:894884
Abp_Reg_08_0593,295,r,,york:894885
Abp_Reg_08_0594,295,v,,york:894886
Abp_Reg_08_0595,296,r,,york:894887
Abp_Reg_08_0596,296,v,,york:894888
Abp_Reg_08_0597,297,r,,york:894889
Abp_Reg_08_0598,297,v,,york:894890
Abp_Reg_08_0599,298,r,,york:894891
Abp_Reg_08_0600,298,v,,york:894892
Abp_Reg_08_0601,299,r,,york:894893
Abp_Reg_08_0602,299,v,,york:894894
