New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Role - role in entry,Role - associated place - as written,Role - associated place - type,Role - associated place - function,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 1 - associated place - function,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 2 - associated place - function,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 3 - Place- Function,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 4 - place - function,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 5 - place - function,Status 6,Status 6 - place - as written,Status 6 - place - type,Status 6 - place - function
3,15,,,Richard,de,Crosby,,,witness,,,,,clerk,Ebor'/Karliolen',,dioceses,,,,,,,,,,,,,,,,,,,,,
3,15,,Master,Nicholas,de,Burton,,,witness,,,,,canon,beate Marie & sanctorum angelorum,,chapel,,,,,,,,,,,,,,,,,,,,,
3,15,,Sir,John,,Mason',,,witness,,,,,chaplain,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,Henry,de,Ingelby,,,testator,,,,,prebendary,Southcave,,prebend in cathedral church of York,,prebendary,Castre,prebend in cathedral church of Lincoln,,prebendary,Oxton,prebend in collegiate church of Southwell,,prebendary,Crophill,prebend in collegiate church of Southwell,,prebendary,,prebend in collegiate church of Derlington,,rector,Halghton Dunelm' dioc',parish church,
3,16,,,Thomas,de,Ingilby,,  ,soul to be prayed for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,Edelina,,,,testator's mother,soul to be prayed for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,John,de,Ingilby,,,soul to be prayed for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,David,de,Wollour,,,soul to be prayed for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,William,de,Dalton,,,soul to be prayed for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,William,de,Benham,,,soul to be prayed for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,[Edward III],,,,,health to be prayed for,,,,,king,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,[Edward III],,,,,soul to be prayed for,,,,,king,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,,,,,,legatees,,,,,abbot and convent,Rievall',Rievaulx,monastery,,,,,,,,,,,,,,,,,,,,,
3,16,,,,,,,,legatees,,,,,prior and convent,Gisburne,,monastery,,,,,,,,,,,,,,,,,,,,,
3,16,,,,,,,,legatees,,,,,abbot and convent,Jerovall',Jervaux,monastery,,,,,,,,,,,,,,,,,,,,,
3,16,,,,,,,,legatees,,,,,prioress and convent,Nuncoton',,monastery,,,,,,,,,,,,,,,,,,,,,
3,16,,,,,,,,legatees,,,,,prioress and convent,Neteham,,monastery,,,,,,,,,,,,,,,,,,,,,
3,16,,Brother,Hugh,de,Karliolo,,,legatees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,Thomas,de,Ellerbek',,,legatees,,,,,monk,Ebor',,,,,,,,,,,,,,,,,,,,,,,
