New Folio No. ,Entry No.,Entry Part,Date Range - Standard - Start,Date Range - Standard - End,Date - Inferred,Date - Uncertain,Date - Approximate,Date - Type,Place - As Written,Place - Type,Date - Notes,Recited Date 1 Range - Standard - Start,Recited Date Range - Standard - End,Recited Date - Inferred,Recited Date - Uncertain,Recited Date - Approximate,Recited Date 1 - Type,Recited Date 1 - Place - As Written,Recited Date 1 - Place - Type,Recited Date 1- Notes,Recited date 2 - standard,Recited date 2 - place - as written,Recited date 2 - place - type,,
20,232,,1375-09-29,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
20,233,,1375-10-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
20,234,,1375-10-17,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
20,235,,1375-10-17,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
20,236,,1375-10-27,,,,,Document date,Houden',,,,,,,,,,,,,,,,
20,237,,1375-10-27,,,,,Document date,Houden',,,,,,,,,,,,,,,,
20 r - 20v,238,,1375-10-13,,,,,Document date,Sarum,,,1375-10-02,,,,,,Cawode,,,,,,,
20,239,,1375-12-18,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
20,240,,1375-12-18,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
20,241,,[1375-00-00],,Yes,,,Document date,,,"Undated, but probate granted 21 December 1375 (entry 242)",,,,,,,,,,,,,,
20,242,,1375-12-21,,,,,Event date,,,"Dated 'date loco die & anno supradictis', but place not given",,,,,,,,,,,,,,
20,243,,1375-12-31,,,,,Document date,,,,,,,,,,,,,,,,,
20,244,,1376-01-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
20,245,,1376-01-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,246,,1376-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,247,,1376-01-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,248,,1376-01-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,249,,1376-01-27,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,250,,1376-01-31,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,251,,1376-02-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,252,,1376-02-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,253,,1376-02-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,254,,1376-02-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,255,,1376-02-18,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,256,,1376-03-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,257,,1376-03-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,258,,1376-04-14,,,,,Event date,,,,,,,,,,,,,,,,,
21,259,,1376-03-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,260,,1376-03-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,261,,1376-04-10,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
21,262,,1376-04-10,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
21,263,,1376-04-15,,,,,Document date,,,,,,,,,,,,,,,,,
21,264,,1376-04-15,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
21,265,,1376-04-15,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
21,267,,1376-04-21,,,,,Document date,Scroby,,,,,,,,,,,,,,,,
21,268,,1376-04-22,,,,,Document date,Lann',,,,,,,,,,,,,,,,
21,269,,1376-08-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,270,,1376-08-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
21,271,,1376-08-06,,,,,Document date,,,,,,,,,,,,,,,,,
21,272,,1376-08-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
